match,name,win
1898,ExitNextRight,0
1901,HuskyT_T,1
1901,ExitNextRight,0
1905,HuskyT_T,1
1905,ExitNextRight,0
1907,HuskyT_T,1
1907,ExitNextRight,0
1922,Horrig4n_MKII,1
1922,bato.,0
2002,pOwNx,1
2002,Nons3ns3,0
2019,thdvlzfce,1
2019,NubikRubik,0
2026,thdvlzfce,1
2026,NubikRubik,0
2061,HuskyT_T,1
2061,triangle,0
2065,HuskyT_T,1
2065,triangle,0
2069,ᨏyŕöalFW5,1
2069,ScreamsFromAnus,0
2111,phantaśi,1
2111,Geetee,0
2114,ExitNextRight,1
2114,HuskyT_T,0
2116,phantaśi,1
2116,Geetee,0
2119,ExitNextRight,1
2119,HuskyT_T,0
2124,ExitNextRight,1
2124,HuskyT_T,0
2128,HuskyT_T,1
2128,HoBoxX7Xx,0
2216,oakzmoakz,1
2216,pOwNx,0
2219,oakzmoakz,1
2219,pOwNx,0
2222,oakzmoakz,1
2222,pOwNx,0
2225,oakzmoakz,1
2225,pOwNx,0
2236,Astem,1
2236,pOwNx,0
2240,Astem,1
2240,pOwNx,0
2244,Astem,1
2244,pOwNx,0
2252,The_Ficiente,1
2252,I_Gunner_I,0
2257,The_Ficiente,1
2257,I_Gunner_I,0
2268,Astem,1
2268,pOwNx,0
2274,Astem,1
2274,pOwNx,0
2280,pOwNx,1
2280,ßòóm,0
2285,ßòóm,1
2285,pOwNx,0
2306,Astem,1
2306,ᨏyŕöalFW5,0
2307,Astem,1
2307,ᨏyŕöalFW5,0
2311,Astem,1
2311,ᨏyŕöalFW5,0
2313,Astem,1
2313,ᨏyŕöalFW5,0
2318,Astem,1
2318,ᨏyŕöalFW5,0
2325,pennsylvania-,1
2325,lzr.,0
2354,lzr.,1
2354,blackmane-,0
2356,lzr.,1
2356,blackmane-,0
2426,pOwNx,1
2426,kul1l,0
2428,pOwNx,1
2428,kul1l,0
2436,skilledKAS,1
2436,Redflash,0
2438,skilledKAS,1
2438,Redflash,0
2440,skilledKAS,1
2440,Redflash,0
2493,FrankØ.,1
2493,janos71,0
2497,FrankØ.,1
2497,pOwNx,0
2501,pOwNx,1
2501,LoD,0
2505,LoD,1
2505,pOwNx,0
2506,Walk1nDead,1
2506,Stán,0
2510,Walk1nDead,1
2510,Stán,0
2515,Walk1nDead,1
2515,Stán,0
2516,pOwNx,1
2516,Horrig4n_MKII,0
2519,Walk1nDead,1
2519,Stán,0
2521,pOwNx,1
2521,ßòóm,0
2527,rrreav,1
2527,pOwNx,0
2532,rrreav,1
2532,pOwNx,0
2539,rrreav,1
2539,pOwNx,0
2543,rrreav,1
2543,pOwNx,0
2548,rrreav,1
2548,pOwNx,0
2553,rrreav,1
2553,pOwNx,0
2558,rrreav,1
2558,pOwNx,0
2559,The_Ficiente,1
2559,SL_31,0
2564,rrreav,1
2564,pOwNx,0
2568,The_Ficiente,1
2568,SL_31,0
2573,The_Ficiente,1
2573,SL_31,0
2579,SL_31,1
2579,The_Ficiente,0
2583,The_Ficiente,1
2583,SL_31,0
2587,ᨏyŕöalFW5,1
2587,Sarek91,0
2594,ᨏyŕöalFW5,1
2594,Sarek91,0
